CD_MUNICIPIO;NR_ZONA;QT_VOTOS_BRANCOS;QT_VOTOS_NULOS;QT_VOTOS_TERCEIRA_VIA
27839;47;652;1565;0.0
27154;28;85;281;0.0
28053;46;60;70;0.0
28177;37;76;50;0.0
28134;11;381;397;0.0
28053;46;51;78;0.0
27022;39;183;206;0.0
28630;37;135;208;0.0
28070;29;80;322;0.0
28231;11;101;83;0.0
27138;29;368;283;0.0
28495;37;522;948;0.0
27855;2;3488;10168;0.0
27375;28;82;126;0.0
27650;39;268;918;0.0
28614;21;336;760;0.0
28410;40;471;1641;0.0
27391;45;178;142;0.0
27235;46;89;433;0.0
27057;55;1874;1575;0.0
27855;54;6348;6302;0.0
28290;12;343;767;0.0
28533;15;1772;4027;0.0
27952;48;200;237;0.0
27855;1;4216;4253;0.0
28231;11;93;81;0.0
27251;5;270;254;0.0
28673;51;417;514;0.0
27952;48;207;248;0.0
28657;16;356;1065;0.0
27090;17;265;839;0.0
28398;5;28;144;0.0
28770;8;360;284;0.0
27537;7;82;83;0.0
27332;6;533;920;0.0
2550;58;4483;3655;0.0
2631;43;115;73;0.0
2550;68;3613;2306;0.0
2291;11;232;605;0.0
2054;42;30;382;0.0
2275;7;64;315;0.0
2330;10;109;475;0.0
2674;29;88;427;0.0
2470;50;45;428;0.0
2550;59;4005;6927;0.0
2496;41;64;621;0.0
2550;40;5680;9447;0.0
2313;46;58;288;0.0
2453;48;47;22;0.0
2410;3;738;2865;0.0
98370;69;21;415;0.0
2550;70;4456;3737;0.0
2518;12;298;1103;0.0
98370;69;50;371;0.0
2950;54;91;480;0.0
2038;33;44;423;0.0
2330;10;67;553;0.0
2216;21;100;787;0.0
2356;17;728;779;0.0
2933;6;50;163;0.0
2232;23;434;1237;0.0
2615;5;529;1475;0.0
2836;19;381;1387;0.0
98493;60;49;386;0.0
2550;59;4638;8638;0.0
2712;44;50;343;0.0
2003;67;299;162;0.0
98353;56;717;492;0.0
98515;47;64;84;0.0
2470;50;57;91;0.0
2496;41;173;179;0.0
2038;33;73;86;0.0
2933;6;40;52;0.0
2690;4;1063;1465;0.0
98450;27;60;159;0.0
2135;20;256;894;0.0
2593;49;63;338;0.0
2550;2;2900;2503;0.0
2976;5;66;545;0.0
2798;38;30;717;0.0
2410;3;997;669;0.0
2550;32;4091;2876;0.0
2933;6;30;376;0.0
98493;60;73;327;0.0
2879;3;183;472;0.0
2798;38;69;385;0.0
2356;17;879;508;0.0
2550;58;4436;3076;0.0
2534;6;693;1595;0.0
2550;62;4825;3809;0.0
2275;7;110;608;0.0
2550;68;4780;5231;0.0
2771;24;67;71;0.0
2917;22;63;364;0.0
2437;24;54;346;0.0
2011;34;76;528;0.0
2771;24;62;363;0.0
2410;3;644;1364;0.0
2950;54;63;295;0.0
2550;32;5883;6324;0.0
2178;15;109;544;0.0
2232;23;147;1027;0.0
2020;45;116;498;0.0
2216;21;90;658;0.0
2097;18;41;477;0.0
2631;43;96;423;0.0
2550;40;3835;3568;0.0
2550;40;5476;6182;0.0
2550;59;6020;6312;0.0
98515;47;24;381;0.0
98450;27;84;70;0.0
2976;5;100;447;0.0
2550;1;4424;4802;0.0
2550;68;3082;5757;0.0
2194;13;114;192;0.0
2046;31;138;814;0.0
2712;44;40;573;0.0
98353;56;560;2020;0.0
2437;24;69;165;0.0
2658;35;146;139;0.0
98370;69;45;258;0.0
2550;58;6092;6043;0.0
2550;68;3305;2868;0.0
2259;8;746;521;0.0
98418;51;522;358;0.0
2895;60;41;541;0.0
2259;8;536;2142;0.0
2879;3;84;425;0.0
98477;36;326;1817;0.0
2194;13;129;396;0.0
2437;24;108;279;0.0
2046;31;255;678;0.0
2550;62;5614;9629;0.0
2615;5;314;1296;0.0
2992;6;42;191;0.0
98353;56;600;838;0.0
2550;1;3426;3013;0.0
2550;58;4164;6352;0.0
98477;36;348;1865;0.0
2879;3;91;302;0.0
2070;35;234;325;0.0
2550;65;5208;9135;0.0
2950;54;62;657;0.0
2577;16;410;1216;0.0
2550;2;4228;6256;0.0
2046;31;116;702;0.0
2992;6;34;373;0.0
2593;49;41;261;0.0
98396;23;109;183;0.0
2550;62;4955;3189;0.0
2097;18;40;362;0.0
2550;68;3439;7006;0.0
2798;38;85;577;0.0
2550;70;3959;6919;0.0
